Electoral District Name,Political Affiliation,Candidate's First Name / PrÈnom du candidat,Candidate's Family Name / Nom de famille du candidat
Etobicoke--Lakeshore,People's Party of Canada,Thomas,Fanjoy
Etobicoke--Lakeshore,Liberal Party of Canada,James,Maloney
Etobicoke--Lakeshore,Marxist-Leninist Party of Canada,Janice,Murray
Etobicoke--Lakeshore,Conservative Party of Canada,Bernard,Trottier
Etobicoke--Lakeshore,New Democratic Party,Cory,Wagar
Etobicoke North,New Democratic Party,Benjamin,Abis
Etobicoke North,Green Party of Canada,Sarun,Balaranjan
Etobicoke North,People's Party of Canada,Andy,D'Andrea
Etobicoke North,Independent,Neil,Simon
Etobicoke North,Conservative Party of Canada,Natalie,Weed
Etobicoke North,Liberal Party of Canada,John,Zerucelli
Flamborough--Glanbrook--Brant North,People's Party of Canada,Nikita,Mahood
Flamborough--Glanbrook--Brant North,Conservative Party of Canada,Dan,Muys
Flamborough--Glanbrook--Brant North,Green Party of Canada,Anita,Payne
Flamborough--Glanbrook--Brant North,Liberal Party of Canada,Chuck,Phillips
Flamborough--Glanbrook--Brant North,New Democratic Party,Peter,Werhun
Guelph,Marxist-Leninist Party of Canada,Elaine,Baetz
Guelph,New Democratic Party,Janice,Folk-Dawson
Guelph,Conservative Party of Canada,Gurvir,Khaira
Guelph,Liberal Party of Canada,Dominique,O'Rourke
Guelph,People's Party of Canada,Jeffrey,Swackhammer
Guelph,Independent,Michael,Wassilyn
Guelph,Canadian Future Party,Yurii,Yavorskyi
Guelph,Green Party of Canada,Anne-Marie,Zajdlik
Haldimand--Norfolk,Christian Heritage Party of Canada,Lily,Eggink
Haldimand--Norfolk,People's Party of Canada,Henry,Geissler
Haldimand--Norfolk,Green Party of Canada,Nathan,Hawkins
Haldimand--Norfolk,New Democratic Party,Shannon,Horner-Shepherd
Haldimand--Norfolk,Conservative Party of Canada,Leslyn,Lewis
Haldimand--Norfolk,Liberal Party of Canada,Colin,Walsh
Haliburton--Kawartha Lakes,People's Party of Canada,Michael,Penman
Haliburton--Kawartha Lakes,Conservative Party of Canada,Jamie,Schmale
Haliburton--Kawartha Lakes,New Democratic Party,Alyea,Teel
Haliburton--Kawartha Lakes,Liberal Party of Canada,Nell,Thomas
Hamilton Centre,Parti RhinocÈros Party,Cody,Chenier
Hamilton Centre,Green Party of Canada,Sandy,Crawley
Hamilton Centre,No Affiliation,Carla,Green
Hamilton Centre,New Democratic Party,Matthew,Green
Hamilton Centre,Conservative Party of Canada,Hayden,Lawrence
Hamilton Centre,No Affiliation,Michael,Loomans
Hamilton Centre,Liberal Party of Canada,Aslam,Rana
Hamilton Centre,People's Party of Canada,David,Speicher
Hamilton East--Stoney Creek,People's Party of Canada,Jim,Boutsikakis
Hamilton East--Stoney Creek,Liberal Party of Canada,Chad,Collins
Hamilton East--Stoney Creek,Conservative Party of Canada,Ned,Kuruc
Hamilton East--Stoney Creek,New Democratic Party,Nayla,Mithani
Hamilton Mountain,Marxist-Leninist Party of Canada,Rolf,Gerstenberger
Hamilton Mountain,Liberal Party of Canada,Lisa,Hepfner
Hamilton Mountain,Conservative Party of Canada,Ken,Hewitt
Hamilton Mountain,New Democratic Party,Monique,Taylor
Hamilton Mountain,People's Party of Canada,Bing,Wong
Hamilton West--Ancaster--Dundas,Conservative Party of Canada,Erika,Alexander
Hamilton West--Ancaster--Dundas,Green Party of Canada,Georgia,Beauchemin
Hamilton West--Ancaster--Dundas,Liberal Party of Canada,John-Paul,Danko
Hamilton West--Ancaster--Dundas,Christian Heritage Party of Canada,Jim,Enos
Hamilton West--Ancaster--Dundas,New Democratic Party,Roberto,Henriquez
Hamilton West--Ancaster--Dundas,People's Party of Canada,Ava,Sharavi
Hastings--Lennox and Addington--Tyendinaga,New Democratic Party,Ava,Duffy
Hastings--Lennox and Addington--Tyendinaga,Green Party of Canada,Michael,Holbrook
Hastings--Lennox and Addington--Tyendinaga,Conservative Party of Canada,Shelby,Kramp-Neuman
Hastings--Lennox and Addington--Tyendinaga,Liberal Party of Canada,Tracey,Sweeney Schenk
Hastings--Lennox and Addington--Tyendinaga,People's Party of Canada,Zaid,Yusufani
Humber River--Black Creek,New Democratic Party,Matias,de Dovitiis
Humber River--Black Creek,People's Party of Canada,Marek,Jasinski
Humber River--Black Creek,Communist Party of Canada,Jeanne,McGuire
Humber River--Black Creek,Conservative Party of Canada,Bijay,Paudel
Humber River--Black Creek,Liberal Party of Canada,Judy,Sgro
Huron--Bruce,New Democratic Party,Melanie,Burrett
Huron--Bruce,Conservative Party of Canada,Ben,Lobb
Huron--Bruce,Green Party of Canada,Gregory J,McLean
Huron--Bruce,Independent,Caesar salad,Pella
Huron--Bruce,Liberal Party of Canada,James,Rice
Huron--Bruce,Independent,Justin L,Smith
Kanata,Conservative Party of Canada,Greg,Kung
Kanata,Green Party of Canada,Jennifer,Purdy
Kanata,Centrist Party of Canada,Moinuddin,Siddiqui
Kanata,New Democratic Party,Melissa,Simon
Kanata,Liberal Party of Canada,Jenna,Sudds
Kapuskasing--Timmins--Mushkegowuk,Liberal Party of Canada,Steve,Black
Kapuskasing--Timmins--Mushkegowuk,New Democratic Party,Nicole,Fortier Levesque
Kapuskasing--Timmins--Mushkegowuk,People's Party of Canada,Serge,Lefebvre
Kapuskasing--Timmins--Mushkegowuk,Conservative Party of Canada,GaÈtan,Malette
Kenora--Kiiwetinoong,Independent,Kelvin,Boucher-Chicago
Kenora--Kiiwetinoong,New Democratic Party,Tania,Cameron
Kenora--Kiiwetinoong,People's Party of Canada,Bryce,Desjarlais
Kenora--Kiiwetinoong,Liberal Party of Canada,Charles,Fox
Kenora--Kiiwetinoong,Green Party of Canada,Jon,Hobbs
Kenora--Kiiwetinoong,Conservative Party of Canada,Eric,Melillo
Kingston and the Islands,Liberal Party of Canada,Mark,Gerretsen
Kingston and the Islands,Green Party of Canada,Fintan,Hartnett
Kingston and the Islands,New Democratic Party,Daria,Ju¸di-Hope
Kingston and the Islands,Conservative Party of Canada,Bryan,Paterson
King--Vaughan,Liberal Party of Canada,Mubarak,Ahmed
King--Vaughan,Green Party of Canada,Ann,Raney
King--Vaughan,Conservative Party of Canada,Anna,Roberts
King--Vaughan,People's Party of Canada,Vageesh,Sabharwal
King--Vaughan,New Democratic Party,Samantha,Sanchez
Kitchener Centre,Liberal Party of Canada,Brian,Adeba
Kitchener Centre,Conservative Party of Canada,Kelly,DeRidder
Kitchener Centre,United Party of Canada (UP),Margaretha,Dyck
Kitchener Centre,Green Party of Canada,Mike,Morrice
Kitchener Centre,Animal Protection Party of Canada,Ellen,Papenburg
Kitchener Centre,People's Party of Canada,Wasai,Rahimi
Kitchener Centre,New Democratic Party,Heather,Zaleski
Kitchener--Conestoga,New Democratic Party,Maya,Bozorgzad
Kitchener--Conestoga,People's Party of Canada,Kevin,Dupuis
Kitchener--Conestoga,Liberal Party of Canada,Tim,Louis
Kitchener--Conestoga,Conservative Party of Canada,Doug,Treleaven
Kitchener South--Hespeler,Liberal Party of Canada,Valerie,Bradford
Kitchener South--Hespeler,New Democratic Party,Lorne,Bruce
Kitchener South--Hespeler,United Party of Canada (UP),Kathleen,Dueck
Kitchener South--Hespeler,Green Party of Canada,Ethan,Russell
Kitchener South--Hespeler,Conservative Party of Canada,Matt,Strauss
Kitchener South--Hespeler,People's Party of Canada,Randall,Williams
Lanark--Frontenac,Liberal Party of Canada,Michelle,Foxton
Lanark--Frontenac,Green Party of Canada,Jesse,Pauley
Lanark--Frontenac,New Democratic Party,Danielle,Rae
Lanark--Frontenac,Conservative Party of Canada,Scott,Reid
Leeds--Grenville--Thousand Islands--Rideau Lakes,Conservative Party of Canada,Michael,Barrett
Leeds--Grenville--Thousand Islands--Rideau Lakes,Liberal Party of Canada,Lorna Jean,Edmonds
Leeds--Grenville--Thousand Islands--Rideau Lakes,New Democratic Party,Paul,Lancione
Leeds--Grenville--Thousand Islands--Rideau Lakes,Green Party of Canada,Randi,Ramdeen
Leeds--Grenville--Thousand Islands--Rideau Lakes,People's Party of Canada,Hailey,Simpson
London Centre,People's Party of Canada,David,Annis
London Centre,Liberal Party of Canada,Peter,Fragiskatos
London Centre,Conservative Party of Canada,Stephen,Gallant
London Centre,Green Party of Canada,Mary Ann,Hodge
London Centre,Canadian Future Party,Bruce,Lamb
London Centre,New Democratic Party,Dirka,Prout
London--Fanshawe,People's Party of Canada,Daniel,Buta
London--Fanshawe,Conservative Party of Canada,Kurt,Holman
London--Fanshawe,New Democratic Party,Lindsay,Mathyssen
London--Fanshawe,Liberal Party of Canada,Najam,Naqvi
London West,New Democratic Party,Shinade,Allder
London West,Canadian Future Party,Russell,Benner
London West,Conservative Party of Canada,Adam,Benni
London West,Liberal Party of Canada,Arielle,Kayabaga
London West,United Party of Canada (UP),Christine,Oliver
London West,Green Party of Canada,Jeff,Vanderzwet
Markham--Stouffville,Centrist Party of Canada,Shahzad,Ahmed
Markham--Stouffville,New Democratic Party,Serena,Cheung
Markham--Stouffville,People's Party of Canada,RenÈ,de Vries
Markham--Stouffville,Liberal Party of Canada,Helena,Jaczek
Markham--Stouffville,Conservative Party of Canada,Niran,Jeyanesan
Markham--Stouffville,Green Party of Canada,Myles,O'Brien
Markham--Thornhill,Liberal Party of Canada,Tim,Hodgson
Markham--Thornhill,People's Party of Canada,Mimi,Lee
Markham--Thornhill,Conservative Party of Canada,Lionel,Loganathan
Markham--Thornhill,New Democratic Party,Aftab,Qureshi
Markham--Thornhill,Centrist Party of Canada,Haider,Qureshi
Markham--Unionville,Green Party of Canada,Elvin,Kao
Markham--Unionville,Conservative Party of Canada,Michael,Ma
Markham--Unionville,New Democratic Party,Sameer,Qureshi
Markham--Unionville,Liberal Party of Canada,Peter,Yuen
Middlesex--London,United Party of Canada (UP),Shawn,Cartlidge
Middlesex--London,Green Party of Canada,Jim,Johnston
Middlesex--London,Liberal Party of Canada,Kent,Keenan
Middlesex--London,New Democratic Party,Taylor,McIntosh
Middlesex--London,Conservative Party of Canada,Lianne,Rood
Middlesex--London,People's Party of Canada,Cynthia,Workman
Milton East--Halton Hills South,Green Party of Canada,Susan,Doyle
Milton East--Halton Hills South,Conservative Party of Canada,Parm,Gill
Milton East--Halton Hills South,People's Party of Canada,Walter J.,Hofman
Milton East--Halton Hills South,Independent,Shahbaz Mahmood,Khan
Milton East--Halton Hills South,New Democratic Party,Muhammad Riaz,Sahi
Milton East--Halton Hills South,Liberal Party of Canada,Kristina,Tesser Derksen
Mississauga Centre,Liberal Party of Canada,Fares,Al Soud
Mississauga Centre,Independent,Zulfiqar,Ali
Mississauga Centre,Conservative Party of Canada,Muhammad,Ishaq
Mississauga Centre,New Democratic Party,Brandon,Nguyen
Mississauga Centre,People's Party of Canada,Gurdeep,Wolosz
Mississauga East--Cooksville,Liberal Party of Canada,Peter,Fonseca
Mississauga East--Cooksville,People's Party of Canada,Amit,Gupta
Mississauga East--Cooksville,Independent,Winston,Harding
Mississauga East--Cooksville,New Democratic Party,Khawar,Hussain
Mississauga East--Cooksville,Conservative Party of Canada,Nita,Kang
Mississauga East--Cooksville,Marxist-Leninist Party of Canada,Dagmar,Sullivan
Mississauga--Erin Mills,People's Party of Canada,Michael,Bayer
Mississauga--Erin Mills,Liberal Party of Canada,Iqra,Khalid
Mississauga--Erin Mills,Green Party of Canada,Sulaiman,Khan
Mississauga--Erin Mills,Independent,Michael,Matulewicz
Mississauga--Erin Mills,Conservative Party of Canada,Milad,Mikael
Mississauga--Erin Mills,New Democratic Party,Ehab,Mustapha
Mississauga--Lakeshore,New Democratic Party,Evelyn,Butler
Mississauga--Lakeshore,Independent,Carlton,Darby
Mississauga--Lakeshore,Marxist-Leninist Party of Canada,Anna,Di Carlo
Mississauga--Lakeshore,Conservative Party of Canada,Tom,Ellard
Mississauga--Lakeshore,Green Party of Canada,Mary,Kidnew
Mississauga--Lakeshore,People's Party of Canada,Fahad,Rao
Mississauga--Lakeshore,Liberal Party of Canada,Charles,Sousa
Mississauga--Malton,New Democratic Party,Inderjeetsingh,Ailsinghani
Mississauga--Malton,Liberal Party of Canada,Iqwinder Singh,Gaheer
Mississauga--Malton,People's Party of Canada,Nathan,Quinlan
Mississauga--Malton,Conservative Party of Canada,Jaspreet,Sandhu
Mississauga--Streetsville,People's Party of Canada,Logan,Araujo
Mississauga--Streetsville,New Democratic Party,Bushra,Asghar
Mississauga--Streetsville,Green Party of Canada,Chris,Hill
Mississauga--Streetsville,Conservative Party of Canada,Sue,McFadden
Mississauga--Streetsville,Liberal Party of Canada,Rechie,Valdez
Nepean,Conservative Party of Canada,Barbara,Bal
Nepean,Liberal Party of Canada,Mark,Carney
Nepean,People's Party of Canada,Eric,Fleury
Nepean,Green Party of Canada,Greg,Hopkins
Nepean,New Democratic Party,Shyam,Shukla
Newmarket--Aurora,Conservative Party of Canada,Sandra,Cobena
Newmarket--Aurora,New Democratic Party,Anna,Gollen
Newmarket--Aurora,Liberal Party of Canada,Jennifer,McLachlan
New Tecumseth--Gwillimbury,Conservative Party of Canada,Scot,Davidson
New Tecumseth--Gwillimbury,Liberal Party of Canada,Mike,Hanrahan
New Tecumseth--Gwillimbury,Green Party of Canada,Callum,McKinnon
New Tecumseth--Gwillimbury,People's Party of Canada,Paul,Montague
New Tecumseth--Gwillimbury,New Democratic Party,Nancy,Morrison
Niagara Falls--Niagara-on-the-Lake,People's Party of Canada,Dinah,Althorpe
Niagara Falls--Niagara-on-the-Lake,Centrist Party of Canada,Yawar,Anwar
Niagara Falls--Niagara-on-the-Lake,Conservative Party of Canada,Tony,Baldinelli
Niagara Falls--Niagara-on-the-Lake,Liberal Party of Canada,Andrea,Kaiser
Niagara Falls--Niagara-on-the-Lake,New Democratic Party,Shannon,Mitchell
Niagara Falls--Niagara-on-the-Lake,Libertarian Party of Canada,Daniel,Shakhmundes
Niagara Falls--Niagara-on-the-Lake,Green Party of Canada,Celia,Taylor
Niagara South,Liberal Party of Canada,Vance,Badawey
Niagara South,Green Party of Canada,Natashia,Bergen
Niagara South,Conservative Party of Canada,Fred,Davies
Niagara South,New Democratic Party,Chantal,McCollum
Niagara South,People's Party of Canada,Peter,Taras
Niagara South,Christian Heritage Party of Canada,David,Vedova
Niagara West,New Democratic Party,Justin,Abando
Niagara West,Conservative Party of Canada,Dean,Allison
Niagara West,People's Party of Canada,Ryan,Anderson
Niagara West,Christian Heritage Party of Canada,Dave,Bylsma
Niagara West,Liberal Party of Canada,Jennifer,Korstanje
Nipissing--Timiskaming,People's Party of Canada,John,Janssen
Nipissing--Timiskaming,Conservative Party of Canada,Garry,Keller
Nipissing--Timiskaming,New Democratic Party,Valerie,Kennedy
Nipissing--Timiskaming,Green Party of Canada,Louise,Poitras
Nipissing--Timiskaming,Liberal Party of Canada,Pauline,Rochefort
Northumberland--Clarke,New Democratic Party,Ava,Becker
Northumberland--Clarke,People's Party of Canada,Lisa,Bradburn
Northumberland--Clarke,Liberal Party of Canada,John,Goheen
Northumberland--Clarke,Conservative Party of Canada,Philip,Lawrence
Northumberland--Clarke,Independent,Jody,Ledgerwood
Northumberland--Clarke,Christian Heritage Party of Canada,John,Wesselius
Northumberland--Clarke,Green Party of Canada,Christina Marie,Wilson
Oakville East,Liberal Party of Canada,Anita,Anand
Oakville East,United Party of Canada (UP),Alicia,Bedford
Oakville East,Conservative Party of Canada,Ron,Chhinzer
Oakville East,New Democratic Party,Hailey,Ford
Oakville East,People's Party of Canada,Henry,Karabela
Oakville East,Green Party of Canada,Bruno,Sousa
Oakville West,Liberal Party of Canada,Sima,Acan
Oakville West,Conservative Party of Canada,Tim,Crowder
Oakville West,New Democratic Party,Diane,Downey
Oakville West,Independent,Martin,Gegus
Oakville West,Green Party of Canada,Chris,Kowalchuk
Oakville West,People's Party of Canada,JD,Meaney
OrlÈans,People's Party of Canada,Tafiqul,Abu Mohammad
OrlÈans,Libertarian Party of Canada,Arlo,Arrowsmith
OrlÈans,Independent,Mazhar,Choudhry
OrlÈans,New Democratic Party,Oulai B.,GouÈ
OrlÈans,Green Party of Canada,Jaycob,Jacques
OrlÈans,Liberal Party of Canada,Marie-France,Lalonde
OrlÈans,Conservative Party of Canada,Steve,Mansour
OrlÈans,Independent,Arabella,Vida
Oshawa,Conservative Party of Canada,Rhonda,Kirkland
Oshawa,New Democratic Party,Sara,Labelle
Oshawa,Green Party of Canada,Katherine,Mathewson
Oshawa,Liberal Party of Canada,Isaac,Ransom
Ottawa Centre,Canadian Future Party,Andrea,Chabot
Ottawa Centre,Independent,Zed,Chebib
Ottawa Centre,Conservative Party of Canada,Paul,D'Orsonnens
Ottawa Centre,New Democratic Party,Joel,Harden
Ottawa Centre,Christian Heritage Party of Canada,Marie-Chantal,Leriche
Ottawa Centre,Liberal Party of Canada,Yasir,Naqvi
Ottawa Centre,Communist Party of Canada,Cashton,Perry
Ottawa Centre,Green Party of Canada,Amanda,Rosenstock
Ottawa Centre,Independent,Mike,Salmon
Ottawa South,Parti RhinocÈros Party,William,Cooper
Ottawa South,Green Party of Canada,Nira,Dookeran
Ottawa South,New Democratic Party,Hena,Masjedee
Ottawa South,Liberal Party of Canada,David,McGuinty
Ottawa South,Christian Heritage Party of Canada,Alex,Perrier
Ottawa South,Canadian Future Party,John,Redins
Ottawa South,Conservative Party of Canada,Blair,Turner
Ottawa--Vanier--Gloucester,Independent,Elizabeth,Benoit
Ottawa--Vanier--Gloucester,Libertarian Party of Canada,Coreen,Corcoran
Ottawa--Vanier--Gloucester,Liberal Party of Canada,Mona,Fortier
Ottawa--Vanier--Gloucester,Marxist-Leninist Party of Canada,Christian,Legeais
Ottawa--Vanier--Gloucester,New Democratic Party,Tristan,Oliff
Ottawa--Vanier--Gloucester,Green Party of Canada,Christian,Proulx
Ottawa--Vanier--Gloucester,People's Party of Canada,Marty,Simms
Ottawa--Vanier--Gloucester,Conservative Party of Canada,Dean,Wythe
Ottawa West--Nepean,People's Party of Canada,Glen,Armstrong
Ottawa West--Nepean,New Democratic Party,Josh,Bizjak
Ottawa West--Nepean,Green Party of Canada,Prashanta,Dhakal
Ottawa West--Nepean,Christian Heritage Party of Canada,Sean,Mulligan
Ottawa West--Nepean,Conservative Party of Canada,Ryan,Telford
Ottawa West--Nepean,Liberal Party of Canada,Anita,Vandenbeld
Oxford,Green Party of Canada,Cheryle,Baker
Oxford,People's Party of Canada,Steven,Beausoleil
Oxford,New Democratic Party,Matthew,Chambers
Oxford,Liberal Party of Canada,David,Hilderley
Oxford,Conservative Party of Canada,Arpan,Khanna
Oxford,United Party of Canada (UP),Melanie,Van Brugge
Oxford,Independent,Akshay Varun Raj,Vardhan
Oxford,Christian Heritage Party of Canada,Jacob,Watson
Parry Sound--Muskoka,Conservative Party of Canada,Scott,Aitchison
Parry Sound--Muskoka,New Democratic Party,Heather,Hay
Parry Sound--Muskoka,People's Party of Canada,Isabel,Pereira
Parry Sound--Muskoka,Liberal Party of Canada,Geordie,Sabbagh
Perth--Wellington,People's Party of Canada,Wayne,Baker
Perth--Wellington,New Democratic Party,Kevin,Kruchkywich
Perth--Wellington,Liberal Party of Canada,David,Mackey
Perth--Wellington,Conservative Party of Canada,John,Nater
Peterborough,Conservative Party of Canada,Michelle,Ferreri
Peterborough,Christian Heritage Party of Canada,Matthew,Grove
Peterborough,Liberal Party of Canada,Emma,Harrison
Peterborough,Independent,Chad,Jewell
Peterborough,People's Party of Canada,Jami-Leigh,McMaster
Peterborough,Green Party of Canada,Jazmine,Raine
Peterborough,New Democratic Party,Heather,Ray
Pickering--Brooklin,Liberal Party of Canada,Juanita,Nathan
Pickering--Brooklin,New Democratic Party,Jamie,Nye
Pickering--Brooklin,Centrist Party of Canada,Zainab,Rana
Pickering--Brooklin,People's Party of Canada,Lisa,Robinson
Pickering--Brooklin,Conservative Party of Canada,Alicia,Vianga
Pickering--Brooklin,Green Party of Canada,Andrea,Wood
Prescott--Russell--Cumberland,New Democratic Party,Ryder,Finlay
Prescott--Russell--Cumberland,Liberal Party of Canada,Giovanna,Mingarelli
Prescott--Russell--Cumberland,People's Party of Canada,Deborah,Perrier
Prescott--Russell--Cumberland,Green Party of Canada,Thaila,Riden
Prescott--Russell--Cumberland,Conservative Party of Canada,Julie,SÈguin
Prescott--Russell--Cumberland,Independent,Jason,St-Louis
Richmond Hill South,New Democratic Party,Ebrahim,Astaraki
Richmond Hill South,Conservative Party of Canada,Vincent,Ho
Richmond Hill South,Liberal Party of Canada,Majid,Jowhari
Richmond Hill South,Green Party of Canada,Alison,Lam
Richmond Hill South,People's Party of Canada,Joshua,Sideris
Richmond Hill South,Independent,Yan,Wang
Richmond Hill South,Canadian Future Party,Juni,Yeung
Sarnia--Lambton--Bkejwanong,Libertarian Party of Canada,Jacques Y,Boudreau
Sarnia--Lambton--Bkejwanong,New Democratic Party,Lo-Anne,Chan
Sarnia--Lambton--Bkejwanong,People's Party of Canada,Brian,Everaert
Sarnia--Lambton--Bkejwanong,Conservative Party of Canada,Marilyn,Gladu
Sarnia--Lambton--Bkejwanong,Christian Heritage Party of Canada,Mark,Lamore
Sarnia--Lambton--Bkejwanong,Parti RhinocÈros Party,Tony,Mitchell
Sarnia--Lambton--Bkejwanong,Liberal Party of Canada,George,Vandenberg
Sault Ste. Marie--Algoma,Christian Heritage Party of Canada,James,Collins
Sault Ste. Marie--Algoma,Green Party of Canada,Robyn Kiki,Eshkibok
Sault Ste. Marie--Algoma,New Democratic Party,Laura,Mayer
Sault Ste. Marie--Algoma,Liberal Party of Canada,Terry,Sheehan
Sault Ste. Marie--Algoma,Conservative Party of Canada,Hugh,Stevenson
Scarborough--Agincourt,New Democratic Party,Dan,Lovell
Scarborough--Agincourt,Conservative Party of Canada,Aris,Movsessian
Scarborough--Agincourt,Liberal Party of Canada,Jean,Yip
Scarborough Centre--Don Valley East,New Democratic Party,Alyson,Koa
Scarborough Centre--Don Valley East,People's Party of Canada,Peter,Koubakis
Scarborough Centre--Don Valley East,Conservative Party of Canada,Belent,Mathew
Scarborough Centre--Don Valley East,Liberal Party of Canada,Salma,Zahid
Scarborough--Guildwood--Rouge Park,Liberal Party of Canada,Gary,Anandasangaree
Scarborough--Guildwood--Rouge Park,Conservative Party of Canada,Suchita,Jalan
Scarborough--Guildwood--Rouge Park,New Democratic Party,Kingsley,Kwok
Scarborough--Guildwood--Rouge Park,Green Party of Canada,Troy,Rife
Scarborough North,Liberal Party of Canada,Shaun,Chen
Scarborough North,New Democratic Party,Karishma,Manji
Scarborough North,Conservative Party of Canada,Gurmit,Sandhu
Scarborough Southwest,Liberal Party of Canada,Bill,Blair
Scarborough Southwest,Green Party of Canada,Amanda,Cain
Scarborough Southwest,Centrist Party of Canada,Imran,Khan
Scarborough Southwest,Marxist-Leninist Party of Canada,Christine,Nugent
Scarborough Southwest,People's Party of Canada,Michael,Poulin
Scarborough Southwest,New Democratic Party,Fatima,Shaban
Scarborough Southwest,Conservative Party of Canada,Asm,Tarun
Scarborough--Woburn,Independent,Amina,Bhaiyat
Scarborough--Woburn,Green Party of Canada,Gianne,Broughton
Scarborough--Woburn,Liberal Party of Canada,Michael,Coteau
Scarborough--Woburn,Conservative Party of Canada,Reddy,Muttukuru
Scarborough--Woburn,Centrist Party of Canada,Ayub,Sipra
Scarborough--Woburn,New Democratic Party,George,Wedge
Simcoe--Grey,New Democratic Party,Jasleen,Bains
Simcoe--Grey,Conservative Party of Canada,Terry,Dowdall
Simcoe--Grey,Green Party of Canada,Allan,Kuhn
Simcoe--Grey,People's Party of Canada,Giorgio,Mammoliti
Simcoe--Grey,Liberal Party of Canada,Bren,Munro
Simcoe North,Conservative Party of Canada,Adam,Chambers
Simcoe North,Christian Heritage Party of Canada,Russ,Emo
Simcoe North,Green Party of Canada,Ray,Little
Simcoe North,New Democratic Party,Melissa,Lloyd
Simcoe North,People's Party of Canada,Stephen Toivo,Makk
Simcoe North,Liberal Party of Canada,Ryan,Rocca
Spadina--Harbourfront,New Democratic Party,Norm,Di Pasquale
Spadina--Harbourfront,Conservative Party of Canada,Diana,Filipova
Spadina--Harbourfront,People's Party of Canada,Gilbert Joseph,Jubinville
Spadina--Harbourfront,Marxist-Leninist Party of Canada,Nick,Lin
Spadina--Harbourfront,Liberal Party of Canada,Chi,Nguyen
Spadina--Harbourfront,Green Party of Canada,Gordon,Rand
Spadina--Harbourfront,Independent,Shrey,Rao
St. Catharines,Liberal Party of Canada,Chris,Bittle
St. Catharines,Centrist Party of Canada,Taha Alexander,Haj-Ahmad
St. Catharines,New Democratic Party,Karen,Orlandi
St. Catharines,Independent,Christopher,Reilly
St. Catharines,Conservative Party of Canada,Bas,Sluijmers
St. Catharines,People's Party of Canada,Dennis,Wilson
Stormont--Dundas--Glengarry,Conservative Party of Canada,Eric,Duncan
Stormont--Dundas--Glengarry,Liberal Party of Canada,Sarah,Good
Stormont--Dundas--Glengarry,Green Party of Canada,Gordon,Kubanek
Stormont--Dundas--Glengarry,New Democratic Party,Mario,Leclerc
Stormont--Dundas--Glengarry,Libertarian Party of Canada,Karl Ivan,MacKinnon
Sudbury,People's Party of Canada,Nicholas,Bonderoff
Sudbury,Liberal Party of Canada,Viviane,Lapointe
Sudbury,Conservative Party of Canada,Ian,Symington
Sudbury,New Democratic Party,Nadia,Verrelli
Sudbury East--Manitoulin--Nickel Belt,Conservative Party of Canada,Jim,Belanger
Sudbury East--Manitoulin--Nickel Belt,New Democratic Party,AndrÈane,ChÈnier
Sudbury East--Manitoulin--Nickel Belt,Green Party of Canada,Himal,Hossain
Sudbury East--Manitoulin--Nickel Belt,Libertarian Party of Canada,Justin Dean Newell,Leroux
Sudbury East--Manitoulin--Nickel Belt,Liberal Party of Canada,Marc G.,SerrÈ
Sudbury East--Manitoulin--Nickel Belt,People's Party of Canada,Sharilynne,St. Louis
Taiaiako'n--Parkdale--High Park,Liberal Party of Canada,Karim,Bardeesy
Taiaiako'n--Parkdale--High Park,Animal Protection Party of Canada,Edward,Fraser
Taiaiako'n--Parkdale--High Park,Marxist-Leninist Party of Canada,Lorne,Gershuny
Taiaiako'n--Parkdale--High Park,Green Party of Canada,Anna,Gorka
Taiaiako'n--Parkdale--High Park,New Democratic Party,Bhutila,Karpoche
Taiaiako'n--Parkdale--High Park,Conservative Party of Canada,Wladyslaw,Lizon
Taiaiako'n--Parkdale--High Park,Marijuana Party,Terry,Parker
Taiaiako'n--Parkdale--High Park,Communist Party of Canada,Rimmy,Riarh
Thornhill,People's Party of Canada,Amir,Hart
Thornhill,Liberal Party of Canada,Liane,Kotler
Thornhill,Conservative Party of Canada,Melissa,Lantsman
Thornhill,New Democratic Party,William,McCarty
Thornhill,Green Party of Canada,Dominic,Piotrowski
Thunder Bay--Rainy River,Green Party of Canada,Eric,Arner
Thunder Bay--Rainy River,Conservative Party of Canada,Brendan,Hyatt
Thunder Bay--Rainy River,Liberal Party of Canada,Marcus,Powlowski
Thunder Bay--Rainy River,People's Party of Canada,Sabrina,Ree
Thunder Bay--Rainy River,New Democratic Party,Yuk-Sem,Won
Thunder Bay--Superior North,People's Party of Canada,Amos,Bradley
Thunder Bay--Superior North,Liberal Party of Canada,Patty,Hajdu
Thunder Bay--Superior North,Conservative Party of Canada,Bob,Herman
Thunder Bay--Superior North,Green Party of Canada,John Malcolm,Northey
Thunder Bay--Superior North,New Democratic Party,Joy,Wakefield
Toronto Centre,Marxist-Leninist Party of Canada,Philip,Fernandez
Toronto Centre,New Democratic Party,Samantha,Green
Toronto Centre,Conservative Party of Canada,Luis,Ibarra
Toronto Centre,Green Party of Canada,Olivia,Iheme
Toronto Centre,Animal Protection Party of Canada,Simon,Luisi
Toronto Centre,Independent,Cleveland,Marshall
Toronto Centre,People's Party of Canada,Nathen,Mazri
Toronto Centre,Liberal Party of Canada,Evan,Solomon
